Reference No.,Source
1,McMurtrey - Report on FY-19 Scoping Creep and Creep-Fatigue Testing on Heat Treated Alloy 709 Base Metal
2,"Wang, Hou - Interim Mechanical Properties Data from FY22 ORNL Testing of A709 with Precipitation Treatment for ASME Code Case Data Package"
3,"Wang, Hou - Report on FY 2020 Creep, Fatigue, and Creep-Fatigue Testing of Alloy 709 Base Metal at ORNL"
4,"Natesan, Zhang,Li - Report on the initiation of planned FY18 short and intermediate term creep rupture tests and creep-fatigue tests on the first commercial heat of Alloy 709."
5,"Zhang, Sham,Li - Deformation Mechanism of Aged Hardened Alloy 709 Materials(2021)"
6,"Feng, Wang, Kyle, Wang - Interim Report on FY22 ORNL A709 Welding Research and Testing of Production Welds in Support of Developing ASME A709 Code Case Data Package"
7,Yamaguchi  (2017) Development of failure evaluation method for BWR Lower head in severe accident; high temperature creep test and creep damage model
8,Yamaguchi (2020) Expansion of high temperature creep test data for failure evaluation of BWR lower head in severe accident
9,Gary L Thinnes(1994) High-temperature creep and tensile data for pressure vessel steels SA533B1 and SA508-CL2
10,Young (2006) Bottom nozzle failure mechanism of water reactor pressure vessel under severe accident conditions
11,Chuanyang Lu(2018) An investigation of phase transition on the microstructural characteristic and creep behavior for the SA508 Gr.3 steel used for nuclear reactor pressure vessels
12,Zhi-gang Xie(2016) Microstructural Evolution of Nuclear Power Steel A508-III in the Creep Process at 800 C
13,"Humphries, L. (2002) OECD Lower Head Failure Project Final Report "
14,"Van Den Boom, (1972) Mechanical Properties of Strip Clad Weld Heat Affected Zones Determined for Steels ASTM A 508, Cl. 2, A 533, Gr. B, Cl. 1, A 302 Gr. B, and A 387 Gr. D"
15,Zengliang Gao(2019) Influence of phase transformation on the creep deformation mechanism of SA508 Gr.3 steel for nuclear reactor pressure vessels
16,Sikka (1980) - ORNL tensile and creep testing of 316L
17,Kumar (2015) - Small Punch Creep deformation and rupture behavior of 316L (N) stainless steel
18,Cai (2016) - Effects of N and Cu on the precipitation and the creep life of 316L austenitic stainless steel at 650 °C
19,Kumar (2017) - Localized creep characterization of 316LN stainless steel weld joint using Small Punch Creep test
20,Mathew (2012) - Improving creep strength of 316L stainless steel by alloying with nitrogen
21,Christopher (2021) - Influence of varying nitrogen on creep deformation and damage behaviour of type 316L in the framework of continuum damage mechanics approach
22,"Mathew, Latha - An assessment of creep strength reduction factors for 316L(N) SS welds"
23,"Mathew, Ganesh et al. - Small Punch Creep Studies for Optimization of Nitrogen Content in 316LN SS for Enhanced Creep Resistance"
24,"Natesan, Chopra et al - Effect of Sodium Environment on the creep rupture and LCF Behavior of Austenitic Stainless Steel."
25,"Wei sun, Suo Li et al - Interpretation of non-conventional miniaturized creep test: derivation of equivalent gauge length."
26,"RN Wrigh, - Creep of A508/533 Pressure Vessel Steel"
27,"Reactor Pressure Vessel Fatigue Damaged Creep Tests​, Nuclear Data Management and Analysis System, 2025. [Online]. Available: https://ndmashome.inl.gov/htr/htmSite/RPV/SitePages/Fatigue%20Damaged%20Creep%20Tests.aspx"
28,"K. Natesan, - Creep Rupture Testing of Alloy 617 and A508/533 Base Metals and Weldments"
29,"B. Kombaiah, K. Linga Murty, (2015) Dislocation cross-slip controlled creep in Zircaloy-4 at high stresses"
30,"Kombaiah, B., & Linga Murty, K. (2015). High temperature creep and deformation microstructures in recrystallized Zircaloy-4"
31,"Kombaiah, B., Murty, K.L. Coble, Orowan Strengthening, and Dislocation Climb Mechanisms in a Nb-Modified Zircaloy Cladding."
32,"Kombaiah, B. (2025) Creep-induced elemental redistribution at grain boundaries of 304L stainless steel – An experimental evidence for diffusional creep mechanisms"
33,"J.K. Wright, (2018) reep and creep-rupture of Alloy 617"
34,"Amrita L, Paul B, Afsaneh R  (2022)- A study on the creep behavior of alloy 709 using in-situ SEM.2022"
35,"Basvoju, D. (2025) Physics-Informed Machine Learning for Creep and Fatigue Life Prediction with Uncertainty Quantification for A709 Alloy"
36,"Feng, Tao, Doug (2021) - Report on FY 2021 Fabrication and Testing of Qualified Alloy 709 Welds at ORNL"
37,"Steam Generator Intermediate Heat Exchange Interrupted Creep Test​, Nuclear Data Management and Analysis System, 2025. [Online]. Available: https://ndmashome.inl.gov/htr/htmSite/SGIHX/SitePages/Interrupted%20Creep%20Tests.aspx"
38,"R.E. Rupp, M.D. McMurtrey (2020), Status of INL Aged A709 Mechanical Testing"
39,"H. Wolf et al., (1992) Prediction of creep parameters of type 316 stainless stell under service conditions using the pi-projection concept"
40,Y. Takahashi et al. (2008) Long-term creep rupture behavior of smoothed and notched bar specimen of low-carbon nitrogen-controlled 316 stainless steel (316FR) and their evaluation
41,R. J. Williams et al. (2021) Creep deformation and failsure properties of 316 L stainless steel manufactured by laser powder bed fusion under multiaxial loading conditions
42,"Li, M. et al. (2022) Effect of heat treatment on creep behavior of 316 L stainless steel manufactured by laser powder bed fusion"
43,"Li, M. et al. (2021) Creep behavior of 316 L stainless steel manufactured by laser powder bed fusion"
44,Sikka (1975) - Heat-to-Heat Variation in Creep Properties of Types 304 and 316 Stainless Steels
45,Sikka (1981) - Discontinuous Creep Deformation in Type 316 Stainless Steel Casting
46,Nitiswati (2018) - Evaluation on Creep Properties of Type 316SS Series
47,Vandermeulen (1986) - Post-Irradiation Creep Properties of Cold-Worked 316 Stainless Steel As Measured with Small Creep Specimens
48,Morris (1978) - Creep failutre in Type 316 austenitic steel
49,Hayes (2006) - Creep fracture of zirconium alloys
50,Ibrahim (2013) - Creep and stress-rupture of high strength zirconium alloys
